date,수온 (C),DO (mg/L),DO (%),pH,염도,ORP
2022-10-15 16:45:00,5,1,6,2,3,4
2022-10-15 16:44:59,5,1,6,2,3,4
2022-10-15 16:44:59,5,1,6,2,3,4
2022-10-15 16:44:58,5,1,6,2,3,4
2022-10-15 16:44:58,5,1,6,2,3,4
2022-10-15 16:44:57,5,1,6,2,3,4
2022-10-15 16:44:56,5,1,6,2,3,4
2022-10-15 16:44:56,5,1,6,2,3,4
2022-10-15 16:44:55,5,1,6,2,3,4
2022-10-15 16:44:54,5,1,6,2,3,4
2022-10-15 01:04:32,1,1,1,1,1,1
2022-10-15 00:15:47,1,1,1,1,1,1
2022-10-14 23:38:34,1,1,1,1,1,1
2022-10-14 19:08:53,1,1,1,1,1,1
2022-10-14 19:08:53,1,1,1,1,1,1
2022-10-14 19:08:53,1,1,1,1,1,1
2022-10-14 19:08:53,1,1,1,1,1,1
2022-10-14 19:08:52,1,1,1,1,1,1
2022-10-14 19:08:52,1,1,1,1,1,1
2022-10-14 19:08:52,1,1,1,1,1,1
2022-10-14 19:08:52,1,1,1,1,1,1
2022-10-14 19:08:52,1,1,1,1,1,1
2022-10-14 19:08:51,1,1,1,1,1,1
2022-10-14 19:08:51,1,1,1,1,1,1
2022-10-14 19:08:51,1,1,1,1,1,1
2022-10-14 19:08:51,1,1,1,1,1,1
2022-10-14 19:08:51,1,1,1,1,1,1
2022-10-14 19:08:50,1,1,1,1,1,1
2022-10-14 19:08:50,1,1,1,1,1,1
2022-10-14 19:08:50,1,1,1,1,1,1
2022-10-14 19:08:50,1,1,1,1,1,1
2022-10-14 19:08:50,1,1,1,1,1,1
2022-10-14 19:08:49,1,1,1,1,1,1
2022-10-14 19:08:49,1,1,1,1,1,1
2022-10-14 19:08:49,1,1,1,1,1,1
2022-10-14 19:08:48,1,1,1,1,1,1
2022-10-14 19:08:47,1,1,1,1,1,1
2022-10-14 19:08:46,1,1,1,1,1,1
2022-10-14 19:08:46,1,1,1,1,1,1
2022-10-14 19:08:45,1,1,1,1,1,1
2022-10-14 19:08:44,1,1,1,1,1,1
2022-10-14 18:27:02,1.1,1.1,1.1,1.1,1.1,1.1
