date,수온 (C),DO (mg/L),DO (%),pH,염도,ORP
2022-10-20 03:45:11,1,2,3,4,5,6
2022-10-20 03:45:10,1,2,3,4,5,6
2022-10-20 03:45:10,1,2,3,4,5,6
2022-10-20 03:45:09,1,2,3,4,5,6
2022-10-20 03:45:09,1,2,3,4,5,6
2022-10-20 03:45:09,1,2,3,4,5,6
2022-10-20 03:45:09,1,2,3,4,5,6
2022-10-20 03:45:08,1,2,3,4,5,6
2022-10-20 03:45:08,1,2,3,4,5,6
2022-10-20 03:45:08,1,2,3,4,5,6
2022-10-20 03:45:08,1,2,3,4,5,6
2022-10-20 03:45:07,1,2,3,4,5,6
2022-10-20 03:45:07,1,2,3,4,5,6
2022-10-20 03:45:07,1,2,3,4,5,6
2022-10-20 03:45:07,1,2,3,4,5,6
2022-10-20 03:45:07,1,2,3,4,5,6
2022-10-20 03:45:06,1,2,3,4,5,6
2022-10-20 03:45:06,1,2,3,4,5,6
2022-10-20 03:45:06,1,2,3,4,5,6
2022-10-20 03:45:06,1,2,3,4,5,6
2022-10-20 03:45:05,1,2,3,4,5,6
2022-10-20 03:45:05,1,2,3,4,5,6
2022-10-20 03:45:05,1,2,3,4,5,6
2022-10-20 03:45:05,1,2,3,4,5,6
2022-10-20 03:45:04,1,2,3,4,5,6
2022-10-20 03:45:04,1,2,3,4,5,6
2022-10-20 03:45:04,1,2,3,4,5,6
2022-10-20 03:45:03,1,2,3,4,5,6
2022-10-20 03:45:03,1,2,3,4,5,6
2022-10-20 03:45:00,1,2,3,4,5,6
