date,수온 (C),DO (mg/L),DO (%),pH,염도,ORP,탁도
2022-11-05 19:06:36,6,52,50,53,54,75,77
2022-11-05 19:05:52,6,52,50,53,54,75,77
2022-11-05 19:01:06,5,50,50,50,50,70,80
2022-11-05 19:00:53,5,50,50,50,50,70,80
2022-11-05 19:00:43,5,50,50,50,50,70,80
2022-11-05 19:00:42,5,50,50,50,50,70,80
2022-11-05 01:08:25,15,120,50,10,20,10,1
2022-11-05 01:08:22,15,120,50,10,20,10,70
2022-11-05 01:08:16,15,120,50,10,50,10,70
2022-11-05 01:08:08,15,120,50,50,50,10,70
2022-11-05 01:08:00,15,50,50,50,50,10,70
2022-11-05 01:07:55,15,50,50,50,50,70,70
2022-11-05 01:07:11,15,50,50,50,50,70,80
2022-11-05 01:07:02,15,50,50,50,50,50,80
2022-11-05 01:06:37,15,50,50,50,50,50,80
2022-11-05 01:05:42,5,50,50,50,50,50,80
2022-11-05 01:04:32,15,50,50,50,50,70,70
2022-11-05 01:04:31,15,50,50,50,50,70,70
2022-11-05 01:04:22,15,50,50,50,50,70,70
2022-11-05 01:03:51,15,50,50,50,50,70,80
2022-11-05 01:03:11,15,50,50,50,50,70,60
2022-11-05 01:02:59,10,50,50,50,50,70,60
2022-11-05 01:02:50,10,50,50,50,50,50,60
2022-11-05 01:02:04,1,50,51,51,51,15,88
2022-11-05 01:02:03,1,50,51,51,51,15,88
2022-11-05 01:01:26,1,50,51,51,51,15,88
2022-11-05 01:00:42,5,50,51,51,51,52,88
2022-11-05 00:59:43,5,50,51,51,51,55,87
2022-11-05 00:59:22,5,50,51,51,51,55,87
2022-11-05 00:57:38,5,50,50,51,51,52,87
2022-11-05 00:56:14,5,50,50,50,50,50,88
2022-11-05 00:56:02,5,50,50,50,50,50,88
2022-11-02 11:54:04,5,120,40,40,10,70,88
2022-11-02 11:52:02,5,50,20,20,50,90,88
2022-11-02 11:51:55,-10,50,20,20,50,90,88
2022-11-02 11:51:41,40,50,20,20,50,90,88
2022-11-02 11:51:14,40,50,20,20,50,90,88
2022-11-02 11:50:56,40,50,20,20,50,90,88
2022-11-02 11:40:04,20,50,20,20,50,90,88
2022-11-01 23:40:52,20,,,,,,
2022-11-01 23:40:51,20,,,,,,
2022-11-01 23:40:49,20,,,,,,
2022-11-01 23:39:30,20,,,,,,
2022-11-01 22:19:38,15.55,50,50,60,55,88,90
2022-11-01 22:16:51,15,50,50,60,55,88,90
2022-11-01 22:16:47,10,50,50,60,55,88,90
2022-11-01 22:16:40,5,50,50,60,55,88,90
2022-11-01 22:16:37,5,50,50,60,55,88,90
2022-11-01 22:16:35,5,50,50,60,55,88,90
2022-11-01 22:16:33,5,50,50,60,55,88,90
2022-11-01 22:16:27,5,50,50,60,55,88,90
2022-11-01 19:51:12,1,1,1,1,1,1,1
2022-11-01 19:51:09,1,1,1,1,1,1,1
2022-11-01 19:51:08,1,1,1,1,1,1,1
2022-11-01 19:49:21,4,1,1,1,1,1,1
2022-11-01 19:49:18,3,1,1,1,1,1,1
2022-11-01 19:49:16,2,1,1,1,1,1,1
2022-11-01 19:49:10,1,1,1,1,1,1,1
2022-11-01 19:49:06,1,1,1,1,1,1,1
2022-11-01 19:48:50,1,1,1,1,1,1,1
2022-11-01 19:48:29,1,1,1,1,1,1,1
2022-11-01 19:48:28,1,1,1,1,1,1,1
2022-11-01 19:48:14,1,1,1,1,1,1,1
2022-11-01 19:48:13,1,1,1,1,1,1,1
2022-11-01 19:46:53,1,1,1,1,1,1,1
2022-11-01 19:46:36,1,1,1,1,1,1,1
2022-11-01 19:46:36,1,1,1,1,1,1,1
2022-11-01 19:46:34,1,1,1,1,1,1,1
