date,수온 (C),DO (mg/L),DO (%),pH,염도,ORP,탁도
2022-10-18 12:58:40,5,1,0,2,3,4,6
2022-10-18 12:58:40,5,1,0,2,3,4,6
2022-10-18 12:58:39,5,1,0,2,3,4,6
2022-10-18 12:58:39,5,1,0,2,3,4,6
2022-10-18 12:58:38,5,1,0,2,3,4,6
2022-10-18 12:58:38,5,1,0,2,3,4,6
2022-10-18 12:58:37,5,1,0,2,3,4,6
2022-10-18 12:58:37,5,1,0,2,3,4,6
2022-10-18 12:58:36,5,1,0,2,3,4,6
2022-10-18 12:58:36,5,1,0,2,3,4,6
2022-10-18 12:58:35,5,1,0,2,3,4,6
2022-10-18 12:58:35,5,1,0,2,3,4,6
2022-10-18 12:58:34,5,1,0,2,3,4,6
2022-10-18 12:58:34,5,1,0,2,3,4,6
2022-10-18 12:58:33,5,1,0,2,3,4,6
2022-10-18 12:58:33,5,1,0,2,3,4,6
2022-10-18 12:58:32,5,1,0,2,3,4,6
2022-10-18 12:58:32,5,1,0,2,3,4,6
2022-10-18 12:58:31,5,1,0,2,3,4,6
2022-10-18 12:58:31,5,1,0,2,3,4,6
2022-10-18 12:58:29,5,1,0,2,3,4,6
2022-10-14 19:08:17,1,1,0,1,1,1,1
2022-10-14 19:08:17,1,1,0,1,1,1,1
2022-10-14 19:08:16,1,1,0,1,1,1,1
2022-10-14 19:08:16,1,1,0,1,1,1,1
2022-10-14 19:08:16,1,1,0,1,1,1,1
2022-10-14 19:08:15,1,1,0,1,1,1,1
2022-10-14 19:08:15,1,1,0,1,1,1,1
2022-10-14 19:08:14,1,1,0,1,1,1,1
2022-10-14 19:08:14,1,1,0,1,1,1,1
2022-10-14 19:08:13,1,1,0,1,1,1,1
2022-10-14 19:08:10,1,1,0,1,1,1,1
2022-10-14 19:08:09,1,1,0,1,1,1,1
2022-10-14 19:08:08,1,1,0,1,1,1,1
2022-10-14 19:08:08,1,1,0,1,1,1,1
2022-10-14 19:08:07,1,1,0,1,1,1,1
2022-10-14 19:08:07,1,1,0,1,1,1,1
2022-10-14 19:08:06,1,1,0,1,1,1,1
2022-10-14 19:08:06,1,1,0,1,1,1,1
2022-10-14 19:08:05,1,1,0,1,1,1,1
2022-10-14 19:08:04,1,1,0,1,1,1,1
2022-10-14 19:08:03,1,1,0,1,1,1,1
2022-10-14 19:08:03,1,1,0,1,1,1,1
2022-10-14 19:08:02,1,1,0,1,1,1,1
2022-10-14 19:08:00,1,1,0,1,1,1,1
