date,수온 (C),DO (mg/L),DO (%),pH,염도,ORP,탁도
2022-10-30 20:09:47,1,1,1,1,1,1,1
2022-10-30 20:09:45,1,1,1,1,1,1,1
2022-10-30 20:09:42,1,1,1,1,1,1,1
2022-10-30 20:09:41,1,1,1,1,1,1,1
2022-10-30 20:09:40,1,1,1,1,1,1,1
2022-10-30 20:09:39,1,1,1,1,1,1,1
2022-10-30 20:09:38,1,1,1,1,1,1,1
2022-10-30 20:09:36,1,1,1,1,1,1,1
2022-10-30 20:09:35,1,1,1,1,1,1,1
2022-10-30 20:09:34,1,1,1,1,1,1,1
2022-10-30 20:01:34,1,2,3,4,5,6,7
2022-10-30 20:01:33,1,2,3,4,5,6,7
2022-10-30 20:01:32,1,2,3,4,5,6,7
2022-10-30 20:01:31,1,2,3,4,5,6,7
2022-10-30 20:01:22,1,2,3,4,5,6,7
2022-10-30 20:01:21,1,2,3,4,5,6,7
2022-10-30 20:01:11,1,2,3,4,5,6,7
2022-10-30 20:01:10,1,2,3,4,5,6,7
2022-10-30 20:01:09,1,2,3,4,5,6,7
2022-10-30 20:01:06,1,2,3,4,5,6,7
2022-10-30 20:01:05,1,2,3,4,5,6,7
2022-10-30 20:01:05,1,2,3,4,5,6,7
2022-10-30 20:01:04,1,2,3,4,5,6,7
2022-10-30 20:01:03,1,2,3,4,5,6,7
2022-10-30 20:01:02,1,2,3,4,5,6,7
2022-10-30 20:01:01,1,2,3,4,5,6,7
2022-10-30 20:01:00,1,2,3,4,5,6,7
2022-10-30 20:00:23,2,2,2,2,2,2,2
2022-10-30 20:00:23,2,2,2,2,2,2,2
2022-10-30 20:00:22,2,2,2,2,2,2,2
2022-10-30 20:00:17,2,2,2,2,2,2,2
2022-10-30 19:14:34,1.111111,,,,,,
2022-10-30 19:14:33,1.111111,,,,,,
2022-10-30 18:48:55,1,1,1,1,,,
2022-10-30 18:48:13,2,1,1,1,1,1,1
2022-10-30 18:48:07,1,1,1,1,1,1,1
2022-10-30 18:48:06,1,1,1,1,1,1,1
2022-10-30 18:48:06,1,1,1,1,1,1,1
2022-10-30 18:48:05,1,1,1,1,1,1,1
2022-10-30 18:48:04,1,1,1,1,1,1,1
2022-10-30 18:45:44,1,1,1,1,1,1,1
2022-10-30 18:45:43,1,1,1,1,1,1,1
2022-10-30 18:45:15,1,1,1,1,1,1,1
2022-10-30 18:45:15,1,1,1,1,1,1,1
2022-10-30 18:45:11,1,1,1,1,1,1,1
2022-10-30 18:44:36,1,1,1,1,1,1,1
2022-10-30 18:44:34,1,1,1,1,1,1,1
2022-10-30 18:44:30,1,1,1,1,1,1,1
2022-10-30 18:44:29,1,1,1,1,1,1,1
2022-10-30 18:44:28,1,1,1,1,1,1,1
2022-10-30 18:43:09,1,1,1,1,1,1,1
2022-10-30 18:43:08,1,1,1,1,1,1,1
2022-10-30 18:43:07,1,1,1,1,1,1,1
2022-10-30 18:43:06,1,1,1,1,1,1,1
